feature,non_null_rate_before,non_null_rate_after,delta
f_k_pct_chg,0.829290758366595,1.0,0.17070924163340495
f_strength_ret20,0.9749769726742401,0.9749769726742401,0.0
f_strength_vs_index20,0.9749769726742401,0.9749769726742401,0.0
f_strength_ret60,0.8922321154436598,0.8922321154436598,0.0
f_strength_rs20_xsec_q,0.9749769726742401,0.9749769726742401,0.0
f_strength_rs60_xsec_q,0.8922321154436598,0.8922321154436598,0.0
f_trend_close_ma20_gap,0.9762050967147682,0.9762050967147682,0.0
f_trend_close_ma60_gap,0.8925391464537918,0.8925391464537918,0.0
f_trend_ma20_ma60_gap,0.8925391464537918,0.8925391464537918,0.0
f_trend_ma20_slope5,0.9670709241633405,0.9670709241633405,0.0
f_platform_len,1.0,1.0,0.0
f_strength_vs_index60,0.8922321154436598,0.8922321154436598,0.0
f_platform_range20,0.9429689898679766,0.9429689898679766,0.0
f_platform_range30,0.9181762357998158,0.9181762357998158,0.0
f_platform_compress_ratio,0.9762050967147682,0.9762050967147682,0.0
f_platform_range_best,0.9429689898679766,0.9429689898679766,0.0
f_near_pivot20,0.9429689898679766,0.9429689898679766,0.0
f_vol20_vol60,0.8925391464537918,0.8925391464537918,0.0
f_low_vol_days10,1.0,1.0,0.0
f_atr_ratio,0.9918636782315013,0.9918636782315013,0.0
f_vol_stability20,0.9450414491863678,0.9450414491863678,0.0
f_breakout_vol_ratio20,0.9762050967147682,0.9762050967147682,0.0
f_up_down_vol_ratio20,0.816011667178385,0.816011667178385,0.0
f_k_body_to_atr,0.9918636782315013,0.9918636782315013,0.0
f_k_upper_shadow_ratio,0.9975437519189438,0.9975437519189438,0.0
f_k_lower_shadow_ratio,0.9975437519189438,0.9975437519189438,0.0
f_k_close_pos,0.9975437519189438,0.9975437519189438,0.0
f_k_break_pivot20_pct,0.9429689898679766,0.9429689898679766,0.0
